iteration,hatchSuccess,hatchDays,neglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F,meanIncubation_M,varIncubation_M,numIncubation_M,meanForaging_M,varForaging_M,numForaging_M,meanIncubation_F,varIncubation_F,numIncubation_F,meanForaging_F,varForaging_F,numForaging_F,incubationMetabolism,foragingMetabolism,minEnergyThreshold,maxEnergyThreshold
155,1,31,0,0,160.937,137.231,394.381,107.194,96.2113,47.2692,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
156,1,31,0,0,178.673,136.603,487.136,111.508,90.4257,71.0071,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
157,1,31,0,0,138.89,130.894,129.654,107.36,103.535,79.0498,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
158,1,31,0,0,104.188,100.448,74.2045,132.637,109.58,153.93,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
159,1,31,0,0,113.734,116.981,48.3277,102.109,89.1622,47.2349,1,0,15,1,0,15,1,0,16,1,0,15,10,10,15,80
160,1,31,0,0,105.756,104.634,78.8837,78.4552,88.9418,73.674,1.06667,0.0622222,15,1,0,14,1,0,15,1.06667,0.0622222,15,10,11,15,80
161,1,31,0,0,75.2278,92.0075,52.7159,117.045,99.4443,51.7329,1,0,15,1,0,15,1,0,16,1,0,15,10,12,15,80
162,1,31,0,0,61.7195,84.5657,178.333,37.0002,78.0339,374.512,1.1,0.09,10,1.6,1.64,10,1.54545,1.52066,11,1.1,0.09,10,10,13,15,80
163,1,31,3,3,89.2461,60.7623,1066.8,30.0749,63.1984,598.809,2.8,6.96,5,3,16,5,2.16667,6.80556,6,2.8,6.96,5,10,14,15,80
164,1,31,3,3,72.5747,70.0628,483.909,31.3309,62.0865,584.623,2.2,2.16,5,3.4,11.44,5,2.5,4.58333,6,2.2,2.16,5,10,15,15,80
165,1,31,4,4,82.1734,74.4416,388.69,15.9022,61.1434,730.903,2,2,6,2.83333,13.4722,6,2,4.28571,7,2,2,6,10,16,15,80
166,1,31,8,5,43.8461,65.2401,654.115,22.9673,42.6463,961.098,3,6,4,4.33333,22.2222,3,2.75,9.1875,4,1.66667,0.888889,3,10,17,15,80
